"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"FGL1",-2.45825019672111,1.71027649371715,-10.1562726699457,3.61717614713505e-22,1.02360917569426e-18,39.2774258691086
"TACC2",-1.20289171089781,2.70866140494493,-9.87912756824076,3.74284626377632e-21,9.26775520489314e-18,36.9654512147634
"S100P",-3.55604736464457,6.57748203984715,-9.73806006099042,1.20973423343312e-20,2.6626250477863e-17,35.8051925322839
"BPIFA2",-1.67858393524261,1.15962737025013,-9.69879137571923,1.67360316236785e-20,3.55204339750123e-17,35.4842342304563
"ADSS1",-1.00743223286616,1.84675523500686,-9.671824315713,2.0904350516947e-20,4.14094279390204e-17,35.2643355910254
"ATP1B1",-1.24960833861144,7.41057138976672,-9.6004914309703,3.75711628182489e-20,7.20239191225831e-17,34.6846898138328
"SCNN1A",-1.40443811485159,5.60701736049222,-9.55493700460034,5.45503624119705e-20,1.01305137095505e-16,34.3160654356057
"PDE3A",-1.07746869021896,1.13912501395255,-9.4216801540355,1.61262861436229e-19,2.73810516187737e-16,33.2447467556073
"BMP6",-1.38008262064071,1.5757157475318,-9.39161846052709,2.05640961114056e-19,3.30287172868244e-16,33.0045170633503
"FXYD4",-1.58833553485068,1.0259027428177,-9.30324012833777,4.18945974683389e-19,6.55176379934467e-16,32.3013890310265
"FURIN",-1.33574141490905,5.86081790233927,-9.29144163071088,4.60537318711642e-19,7.01752595873762e-16,32.2078758092375
"AC079384.1",-1.09775992043294,0.638800872763576,-9.17070262617525,1.20744131063158e-18,1.70844320873578e-15,31.255750763499
"RASD1",-1.9678125183735,4.82520148060489,-8.97779015239541,5.53102792782254e-18,6.99345524822787e-15,29.752975589614
"FGA",-3.09535512738821,2.80299038788712,-8.91837107045592,8.79838246563699e-18,1.06706423425594e-14,29.2947488816277
"GKN2",-1.87442153034485,1.47363719284262,-8.90900045467641,9.46475955381079e-18,1.12492453200863e-14,29.2226862670525
"TSPAN11",-1.29629928516515,1.68867687153116,-8.90518188323166,9.75042428641291e-18,1.13615385111502e-14,29.1933361835587
"SLC14A2",-1.2312097403912,0.562642295153173,-8.88222498546216,1.16567820741766e-17,1.30703318551338e-14,29.0170790574384
"CALCA",-2.79663666822772,1.26065301291287,-8.87393204501929,1.24325434068093e-17,1.36820140191936e-14,28.9534894125948
"AL359704.2",-1.62194711181668,0.824819001503882,-8.83456123191961,1.68713455177654e-17,1.79038116086472e-14,28.6521878942199
"BARX1",-2.06253255798446,1.60130306152548,-8.58280335598389,1.16162537747688e-16,1.09574462392569e-13,26.7488236138075
