Gene,logFC,AveExpr,t,P.Value,adj.P.Val,B
INSL4,-1.050406107,0.550233894,-6.547930841,1.44E-10,2.71E-08,12.96062784
LPL,-1.223652816,3.073898841,-6.541086451,1.51E-10,2.81E-08,12.91938027
ID1,-1.112837306,5.059285311,-6.534915186,1.56E-10,2.90E-08,12.88222045
ELAPOR1,-1.356441431,2.806891169,-6.508297926,1.84E-10,3.36E-08,12.72228551
HGD,-1.396533033,2.212152578,-6.466618577,2.38E-10,4.27E-08,12.47295483
AKR1C2,-2.261065705,2.687418904,-6.406284791,3.43E-10,5.86E-08,12.11443408
KLK12,-1.483331859,1.032672672,-6.381092065,4.00E-10,6.64E-08,11.96557553
MFSD4A,1.167484513,2.588891072,6.373590706,4.18E-10,6.89E-08,11.92134786
NR4A1,-1.065616672,3.407711432,-6.334843727,5.28E-10,8.41E-08,11.69360213
AMBP,-1.145080698,1.235174455,-6.125545826,1.83E-09,2.50E-07,10.48394408
GLB1L3,1.016779095,1.151668617,6.043062898,2.95E-09,3.82E-07,10.01682759
SPDEF,-1.203308861,3.869389383,-6.039339359,3.01E-09,3.90E-07,9.995869458
MUC5B,-1.850874972,3.095274923,-5.987878357,4.05E-09,5.01E-07,9.7073633
FABP3,1.042215422,3.200770263,5.954936729,4.89E-09,5.86E-07,9.523805561
PAEP,-2.06374471,2.677063157,-5.935322422,5.47E-09,6.41E-07,9.414927903
HPN,-1.022595422,3.659825114,-5.925868709,5.77E-09,6.70E-07,9.362562435
IVL,1.190930557,1.337436965,5.915931451,6.11E-09,7.03E-07,9.307596757
FGB,-2.029318784,1.919292183,-5.908519923,6.37E-09,7.24E-07,9.266653799
KCNN4,1.074298321,3.644019843,5.907363809,6.41E-09,7.27E-07,9.260271189
HAS3,1.042463311,2.628205961,5.861196048,8.33E-09,9.09E-07,9.006279594
KLK14,-1.143392266,0.855338058,-5.856691793,8.54E-09,9.31E-07,8.981592439
AGR2,-1.318149492,7.025489342,-5.854909812,8.63E-09,9.35E-07,8.971830227
DPP4,1.057764692,2.939941758,5.853704986,8.68E-09,9.37E-07,8.965231309
PCSK1,-1.192682739,0.818879725,-5.788372563,1.25E-08,1.27E-06,8.609176805
TNC,1.198747371,4.464321448,5.768900724,1.40E-08,1.39E-06,8.503733335
SLC16A4,-1.006081252,3.06721548,-5.755834302,1.50E-08,1.48E-06,8.433150745
