Mixture,Type,Activated dendritic cell,CD56bright natural killer cell,CD56dim natural killer cell,Central memory CD4 T cell,Central memory CD8 T cell,Effector memeory CD8 T cell,Gamma delta T cell,Immature  B cell,Immature dendritic cell,Macrophage,Mast cell,MDSC,Monocyte,Natural killer cell,Plasmacytoid dendritic cell,Regulatory T cell,T follicular helper cell,Type 1 T helper cell,Type 2 T helper cell
TCGA.44.4112.01A.01R.A278.07,Wild,0.777298618,0.849491606,0.976856107,1.077620865,0.964994773,0.860248621,0.882618615,0.695129006,0.941323808,0.709525458,0.766595612,0.97818838,0.885825361,0.92767579,0.875439774,0.96284739,0.762534501,0.757982592,0.827020875
TCGA.L9.A444.01A.21R.A24H.07,Wild,0.816393786,0.948246556,1.035475092,1.155126837,1.00216556,0.992500985,0.935258164,0.920514383,0.949695599,0.815561076,0.756060416,1.149206562,0.975322859,0.961541221,0.940026059,0.998774124,0.876980605,0.881490317,0.865720621
TCGA.86.8055.01A.11R.2241.07,Wild,0.831178223,0.956326321,1.019586056,1.145159703,1.067703115,0.935032834,0.963172162,0.823263544,1.004698854,0.827227367,0.823641732,1.084594071,0.976122051,0.97609821,0.963479806,1.058213296,0.865787968,0.894768256,0.895009381
TCGA.49.6745.01A.11R.1858.07,Wild,0.865686157,0.968332938,1.028020988,1.144452333,1.057743686,0.946105838,0.978472299,0.818569586,1.032152653,0.859694074,0.905164262,1.118777432,1.00223948,0.996506241,0.962650526,1.071459966,0.867565549,0.913613292,0.925352765
TCGA.05.4405.01A.21R.1858.07,Wild,0.829166491,0.958286787,1.052091382,1.129925622,1.013692895,0.930167109,0.927779999,0.823725359,1.019496998,0.81296142,0.893601365,1.054678969,0.970128938,0.965883471,0.958548874,0.96532601,0.876599975,0.859143662,0.85267489
TCGA.MP.A4TH.01A.31R.A262.07,Wild,0.829509623,0.922392076,1.053602827,1.137692916,0.938264073,0.981683235,0.91085712,1.000683165,0.950234001,0.794410661,0.817156735,1.09527297,0.998304294,0.96618433,0.934063555,0.997957721,0.871344046,0.876015795,0.860087823
TCGA.99.7458.01A.11R.2039.07,Wild,0.855247678,0.966219406,1.027094739,1.137350388,1.032287494,0.969135913,0.939791562,0.865994843,1.019498362,0.831649586,0.894859992,1.115525315,0.997599714,0.996310882,0.949868392,1.041637548,0.892965751,0.894310473,0.895988746
TCGA.55.1594.01A.01R.0946.07,Wild,0.793232484,0.944421216,0.978800473,1.099118012,0.975245827,0.883131403,0.91771146,0.778201868,0.999998655,0.79293287,0.766577228,1.031681058,0.977783556,0.947450915,0.946349054,0.966333642,0.819399376,0.806972091,0.834125824
TCGA.86.6562.01A.11R.1755.07,Wild,0.802200947,0.944214474,1.005575175,1.130307662,1.050249098,0.908840458,0.97231712,0.791666455,0.987908958,0.837795723,0.940507389,1.043112255,0.984412383,0.964037418,0.969748513,0.99791659,0.819549247,0.867547383,0.907444317
TCGA.95.7944.01A.11R.2187.07,Wild,0.843931997,0.982761993,1.017995813,1.14644155,0.975269612,0.996480756,0.970919206,0.812265459,0.934388822,0.885972516,0.687829144,1.115241103,0.98707301,0.9787005,0.939204674,0.998024603,0.893891279,0.890825847,0.920410951
