Mixture,Type,Activated B cell,Activated CD4 T cell,Activated CD8 T cell,Activated dendritic cell,CD56bright natural killer cell,CD56dim natural killer cell,Central memory CD4 T cell,Central memory CD8 T cell,Effector memeory CD4 T cell,Effector memeory CD8 T cell,Eosinophil,Gamma delta T cell,Immature  B cell,Immature dendritic cell,Macrophage,Mast cell,MDSC,Memory B cell,Monocyte,Natural killer cell,Natural killer T cell,Neutrophil,Plasmacytoid dendritic cell,Regulatory T cell,T follicular helper cell,Type 1 T helper cell,Type 17 T helper cell,Type 2 T helper cell
TCGA.55.8087.01A.11R.2241.07,Wild,0.552417135,0.628693158,0.885716809,0.798189473,0.920367599,0.990956307,1.109127388,0.890096998,0.776381752,0.827387479,0.58922125,0.891341651,0.648211199,0.959989507,0.735630249,0.741449334,1.007982152,0.627783526,0.954017491,0.93041944,0.630907798,0.492404727,0.933147482,0.910352823,0.830903667,0.769542791,0.683459967,0.755951795
TCGA.67.6216.01A.11R.1755.07,Wild,0.851303659,0.883576845,1.015070264,0.866850043,0.956197881,1.000142405,1.111861182,0.997162691,0.837535387,0.934487977,0.659240314,0.929437823,0.874508246,1.011171593,0.860645589,0.838793567,1.095902915,0.724697494,1.022968226,0.959034432,0.741947193,0.634157635,0.973508532,1.006214501,0.845743332,0.850246673,0.718016553,0.888935481
TCGA.73.4675.01A.01R.1206.07,Wild,0.70791407,0.785060945,0.918868087,0.821934316,0.914330707,1.064931515,1.109826499,1.008281132,0.851259786,0.852030691,0.597249414,0.918206291,0.721685914,0.968722995,0.818598332,0.78132636,1.0311374,0.621520928,0.980684268,0.924498317,0.690003391,0.563346596,0.960473926,0.963977312,0.798630405,0.827242051,0.68680947,0.815211468
TCGA.64.1676.01A.01R.0946.07,Wild,0.732208549,0.898084864,1.056542443,0.839117539,0.978726551,0.986775097,1.142918937,0.998915396,0.837725953,0.939519759,0.616519319,0.962881838,0.797058713,0.996430813,0.841197135,0.849400534,1.131860289,0.73383437,1.010967074,0.963185237,0.819410079,0.589528087,0.93760203,1.037542685,0.878948489,0.857205158,0.69316724,0.879104907
TCGA.55.6981.01A.11R.1949.07,Wild,0.821984853,0.853200842,0.933405144,0.830348703,0.954359595,0.990178858,1.112357715,1.017314372,0.817091353,0.90590755,0.633614663,0.956580133,0.820964237,1.002566037,0.793613315,0.871297211,1.026661645,0.778588228,0.993191221,0.93100487,0.730027701,0.597514143,0.971570161,0.974351811,0.847960271,0.837053573,0.765384698,0.884310799
TCGA.75.5147.01A.01R.1628.07,Wild,0.831025579,0.938515357,1.032944405,0.855115289,0.983407519,1.030541229,1.111002529,1.023277072,0.849488995,0.896315051,0.577756394,0.93916716,0.83907759,1.024716024,0.851629175,0.851196657,1.108740474,0.730848036,0.975095001,0.960839179,0.740272355,0.637183206,1.006076283,1.015569404,0.848237163,0.889294822,0.74689566,0.889840096
TCGA.L9.A7SV.01A.11R.A39D.07,Wild,0.611333363,0.84865258,0.940988281,0.71563169,0.868535331,1.05594102,1.088953647,0.935099909,0.712051121,0.821635613,0.658481511,0.835851416,0.680074938,0.955071735,0.607492541,0.592615085,0.927899961,0.644417358,0.933324717,0.877714556,0.673046917,0.370893948,0.903586755,0.819152267,0.744850296,0.731927033,0.643408772,0.774334016
TCGA.55.1595.01A.01R.0946.07,Wild,0.755530213,0.890231592,1.017958064,0.785898857,0.902972497,1.028815391,1.117096432,0.972043469,0.783703337,0.923613377,0.630642041,0.914550224,0.799562095,0.982727848,0.763007892,0.801983325,1.035663364,0.725576919,0.942411267,0.962729914,0.729400036,0.494527681,0.915268482,0.964111984,0.843764435,0.834606842,0.720451269,0.889696617
TCGA.62.8402.01A.11R.2326.07,Wild,0.709787213,0.949527632,1.087296335,0.831697019,0.943699842,1.033822368,1.116775657,0.96203272,0.796826998,0.993135407,0.574599576,0.921507772,0.799503049,0.968496995,0.777129722,0.736469857,1.067706793,0.672876153,0.971187846,0.989988168,0.741536746,0.657971443,0.952390277,0.963521421,0.839964261,0.854132408,0.808011443,0.908908046
TCGA.78.8648.01A.11R.2403.07,Wild,0.910724412,0.945633802,1.096099919,0.872993907,0.963445439,1.006668158,1.146764587,1.071842508,0.853588002,1.023099049,0.736361318,0.982643572,0.945134662,1.021892629,0.942467592,0.962854775,1.173463939,0.781421484,1.020581107,0.999419439,0.896750949,0.614379873,1.014042401,1.090884668,0.93244679,0.927697736,0.72249945,0.920380791
