"","Activated B cell","Activated CD4 T cell","Activated CD8 T cell","Activated dendritic cell","CD56bright natural killer cell","CD56dim natural killer cell","Central memory CD4 T cell","Central memory CD8 T cell","Effector memeory CD4 T cell","Effector memeory CD8 T cell","Eosinophil","Gamma delta T cell","Immature  B cell","Immature dendritic cell","Macrophage","Mast cell","MDSC","Memory B cell","Monocyte","Natural killer cell","Natural killer T cell","Neutrophil","Plasmacytoid dendritic cell","Regulatory T cell","T follicular helper cell","Type 1 T helper cell","Type 17 T helper cell","Type 2 T helper cell"
"Eosinophil",0.513284775569282,0.0982272729495726,0.373267907286524,0.53300248312745,0.298777502414317,0.094579068951789,0.400697128273576,0.40167881063606,0.416285370136249,0.467960905451831,1,0.374047288354805,0.524910660540607,0.487165462995704,0.550909875550839,0.720622649665408,0.469833496167012,0.22124441282503,0.404072622529361,0.475625734352018,0.380125762395276,0.398098819854989,0.42518247437103,0.404280770491523,0.536553255062641,0.481858739063469,0.327578146243703,0.232878388810192
"Gamma delta T cell",0.43974842264966,0.465134375184686,0.614736701151479,0.789737158925063,0.744466041146746,0.460321940065473,0.750609083485578,0.794200824167045,0.716639331956403,0.625961251116633,0.374047288354805,1,0.490667534839768,0.678845485912202,0.838190999374119,0.681556665833548,0.754031944876322,0.584001767386994,0.781105298146223,0.726213979605506,0.813682857898787,0.644794859148545,0.76163697333868,0.746525222080456,0.803406206402774,0.803400240659386,0.555599403028405,0.535114855209292
"Immature  B cell",0.928572823297041,0.573824326579557,0.743319797391126,0.614019796640405,0.449560785991157,0.185906587703885,0.671626900772926,0.519547194054437,0.558949687106517,0.771716466592478,0.524910660540607,0.490667534839768,1,0.44648388621408,0.707167663668393,0.608803572124101,0.79987687295593,0.535455461904106,0.502993522819097,0.688551668118667,0.604421573340869,0.365662967274497,0.464756875430742,0.725879730987209,0.70810328317646,0.765713298293863,0.350535886182517,0.423585691268743
"Immature dendritic cell",0.402758717729455,0.235508442409423,0.430317695713802,0.706896030311007,0.629742117766018,0.344378870130324,0.586480868214561,0.674018389747781,0.57037968432273,0.496088807710037,0.487165462995704,0.678845485912202,0.44648388621408,1,0.73020232794267,0.701119491143461,0.636842051667568,0.46744120139812,0.683877472402417,0.646637979739626,0.553114781183167,0.578509951714762,0.726791880714666,0.599986604833561,0.687972374804032,0.640771979972817,0.486361537703577,0.375386528244203
"Macrophage",0.639858719510847,0.46813606370104,0.670763893550768,0.861741791189032,0.7044437826303,0.343124327850074,0.812674254901173,0.806407241253768,0.767664071996427,0.783896603050548,0.550909875550839,0.838190999374119,0.707167663668393,0.73020232794267,1,0.816937808856944,0.893813552173121,0.57120426010131,0.770734328690013,0.81830158148623,0.78583344904043,0.662808330452866,0.782632528616957,0.856171628588666,0.894516798132192,0.887780166227022,0.52740989082413,0.493535509803898
"Mast cell",0.546864500567354,0.251988193724477,0.475775979297408,0.734628485150983,0.578101803084616,0.18125061996798,0.657539711631716,0.721127428906226,0.645204417810177,0.62593954422691,0.720622649665408,0.681556665833548,0.608803572124101,0.701119491143461,0.816937808856944,1,0.689781334319719,0.465565773782002,0.599888771119863,0.6947074376039,0.60513586932629,0.553888767900514,0.650204775015876,0.694668514357688,0.781954088860241,0.724607888571833,0.400760318488213,0.397201791287456
"MDSC",0.690498909084926,0.594817788827913,0.772760866709388,0.825918693178485,0.636624807562284,0.344361674387687,0.821015277892855,0.729891016128526,0.683504400747845,0.888506655312838,0.469833496167012,0.754031944876322,0.79987687295593,0.636842051667568,0.893813552173121,0.689781334319719,1,0.543200525124672,0.705600631074765,0.820931863581388,0.768710346779473,0.564299618921562,0.673488738452312,0.905753424818913,0.872826706094108,0.871714678669424,0.483930353315119,0.44491361820686
"Memory B cell",0.526527529535067,0.58521677816299,0.490801020668461,0.51059812154985,0.543506594148695,0.348381937090311,0.536382842992881,0.574536150613646,0.581597796159801,0.449827984008738,0.22124441282503,0.584001767386994,0.535455461904106,0.46744120139812,0.57120426010131,0.465565773782002,0.543200525124672,1,0.53746949246638,0.623671413290237,0.613407673174501,0.381577961216699,0.513354656432703,0.597878969200689,0.569690982630062,0.636139895903578,0.483207065715023,0.607597737445166
"Monocyte",0.537357072460481,0.314027944027261,0.662178754169931,0.751272121325591,0.762424786555231,0.618761266317151,0.727556969806413,0.660384038894711,0.585217042184694,0.587823698804108,0.404072622529361,0.781105298146223,0.502993522819097,0.683877472402417,0.770734328690013,0.599888771119863,0.705600631074765,0.53746949246638,1,0.66723905623503,0.72456276490343,0.604316089072583,0.76332302870299,0.592955462263158,0.775044939266161,0.769518597395788,0.663719551979772,0.403506681346769
"Natural killer cell",0.617089510776294,0.482355983435682,0.669595565235554,0.751855119728675,0.674147310974501,0.373804934937396,0.797135750494825,0.742011804555167,0.692461949979622,0.761825840342041,0.475625734352018,0.726213979605506,0.688551668118667,0.646637979739626,0.81830158148623,0.6947074376039,0.820931863581388,0.623671413290237,0.66723905623503,1,0.744904068492688,0.514123254711806,0.695073126646312,0.807653233215311,0.852273526547923,0.844548449343233,0.557345975002486,0.53146797738991
"Natural killer T cell",0.566412404570631,0.604506917516657,0.774732547053419,0.735719934534639,0.734493362297537,0.451291457054333,0.757506359570125,0.705892841520145,0.685699519332532,0.723515367793392,0.380125762395276,0.813682857898787,0.604421573340869,0.553114781183167,0.78583344904043,0.60513586932629,0.768710346779473,0.613407673174501,0.72456276490343,0.744904068492688,1,0.606090704140653,0.711729788641026,0.715652111949123,0.789774788414728,0.854792368748407,0.561619317694853,0.592072806679699
"Neutrophil",0.374227211584048,0.338177571074496,0.415954951829685,0.695391332249501,0.519751374337533,0.375469887785569,0.535646273826863,0.611385537699537,0.524964332094468,0.467738743932179,0.398098819854989,0.644794859148545,0.365662967274497,0.578509951714762,0.662808330452866,0.553888767900514,0.564299618921562,0.381577961216699,0.604316089072583,0.514123254711806,0.606090704140653,1,0.666391900049887,0.514322026194526,0.559315422557303,0.612809075155867,0.577945193639151,0.473772532844121
"Plasmacytoid dendritic cell",0.453728650035313,0.317799572487631,0.514898850815325,0.717296762022765,0.715067582432402,0.443441824316008,0.665306123947661,0.737814574403215,0.640194444887399,0.548934578467696,0.42518247437103,0.76163697333868,0.464756875430742,0.726791880714666,0.782632528616957,0.650204775015876,0.673488738452312,0.513354656432703,0.76332302870299,0.695073126646312,0.711729788641026,0.666391900049887,1,0.639131865209506,0.725140547600734,0.734917967157896,0.584526393913645,0.423708758495477
"Regulatory T cell",0.576428349150109,0.617395569192053,0.601852557563907,0.76915311044519,0.552526214972624,0.238277307642585,0.750293655030717,0.805613529717857,0.705665044254183,0.810019095495232,0.404280770491523,0.746525222080456,0.725879730987209,0.599986604833561,0.856171628588666,0.694668514357688,0.905753424818913,0.597878969200689,0.592955462263158,0.807653233215311,0.715652111949123,0.514322026194526,0.639131865209506,1,0.836658960436418,0.809390230174716,0.375971047346924,0.472440037848301
"T follicular helper cell",0.636128794349249,0.457642795147209,0.713885656156877,0.836179608563331,0.731694654717485,0.377627296501993,0.837059848932523,0.780253733960067,0.706774667991157,0.816216269416548,0.536553255062641,0.803406206402774,0.70810328317646,0.687972374804032,0.894516798132192,0.781954088860241,0.872826706094108,0.569690982630062,0.775044939266161,0.852273526547923,0.789774788414728,0.559315422557303,0.725140547600734,0.836658960436418,1,0.90417527053684,0.559442077326754,0.480199112649929
"Type 1 T helper cell",0.740611341858847,0.572737210584167,0.807570469199943,0.815784748375689,0.762289810834281,0.435765609718814,0.859579199506366,0.762101866749362,0.723424556047698,0.823270027758847,0.481858739063469,0.803400240659386,0.765713298293863,0.640771979972817,0.887780166227022,0.724607888571833,0.871714678669424,0.636139895903578,0.769518597395788,0.844548449343233,0.854792368748407,0.612809075155867,0.734917967157896,0.809390230174716,0.90417527053684,1,0.611684813574262,0.595466943003655
"Type 17 T helper cell",0.446965178897755,0.284531380606832,0.532113752971658,0.587094926364538,0.606461877098902,0.611533910033824,0.554978903609574,0.476357404256895,0.423531093919165,0.408152873547646,0.327578146243703,0.555599403028405,0.350535886182517,0.486361537703577,0.52740989082413,0.400760318488213,0.483930353315119,0.483207065715023,0.663719551979772,0.557345975002486,0.561619317694853,0.577945193639151,0.584526393913645,0.375971047346924,0.559442077326754,0.611684813574262,1,0.481720509939303
"Type 2 T helper cell",0.429368967250058,0.649984277788573,0.521942000490979,0.467595185710928,0.481372656731009,0.269414156494394,0.485558056976302,0.481253394703663,0.518986791940225,0.430260634893179,0.232878388810192,0.535114855209292,0.423585691268743,0.375386528244203,0.493535509803898,0.397201791287456,0.44491361820686,0.607597737445166,0.403506681346769,0.53146797738991,0.592072806679699,0.473772532844121,0.423708758495477,0.472440037848301,0.480199112649929,0.595466943003655,0.481720509939303,1
